LC,product,sr_level,temp,category,sub_category,off_on_ratio
11,17,109.72620235603357,hot,3,10,0.915861397585733
12,17,96.60958120318172,hot,3,10,0.8966330801981434
13,17,62.357745508076775,hot,3,10,0.8201315614280179
14,17,63.072100296411115,hot,3,10,0.8108167778822465
15,17,64.33151420449185,hot,3,10,0.6545175376828637
16,17,71.82098592919549,hot,3,10,0.9188258842124885
0,18,232.57369996099868,hot,4,22,1.1926104007958416
1,18,198.6908962167372,hot,4,22,1.1494125004355737
2,18,294.3495005760651,hot,4,22,1.193571517238457
3,18,316.4630082890643,hot,4,22,1.1063202034801225
4,18,260.543103838798,hot,4,22,1.1764643870089686
5,18,359.0103924419124,hot,4,22,1.1671774986421402
6,18,376.3850491737822,hot,4,22,1.2232883158462118
7,18,433.1519781782479,hot,4,22,1.092304753360583
8,18,355.44268513588895,hot,4,22,1.135172473399503
9,18,355.40865249124164,hot,4,22,1.1264590885454397
10,18,377.05141440528223,hot,4,22,1.1942871836080047
11,18,229.4287083042173,hot,4,22,1.1392682975151351
12,18,295.5502727166136,hot,4,22,1.1281689921011868
13,18,246.25815565406356,hot,4,22,1.130495056985348
14,18,244.40534406677884,hot,4,22,1.0334059534774602
15,18,297.37729975740984,hot,4,22,1.1865418118667097
16,18,230.24703332199647,hot,4,22,1.0570589751111852
0,19,97.72162426948384,hot,2,0,1.1674904600491998
1,19,127.18901440912919,hot,2,0,1.1412532846304877
2,19,111.68771199210343,hot,2,0,1.086443133344124
3,19,176.95375542600135,hot,2,0,1.120718585276351
4,19,158.50167686310198,hot,2,0,1.1732340357735433
5,19,138.15800563819826,hot,2,0,1.1459053836106845
6,19,133.40349405326015,hot,2,0,1.1906136824266633
7,19,227.44496330406793,hot,2,0,1.1110708468601733
8,19,155.5296510459755,hot,2,0,1.1202992241595835
9,19,129.67547477429153,hot,2,0,1.1364351580002687
10,19,131.78175433758517,hot,2,0,1.0863226852563184
11,19,124.68194379994291,hot,2,0,1.1423804792024372
12,19,101.19288608383111,hot,2,0,1.0979998294901159
13,19,171.77332652815858,hot,2,0,1.18337720134015
14,19,139.68289259569409,hot,2,0,1.0627704862534548
15,19,107.14185453117558,hot,2,0,1.1234459153414271
16,19,138.8444963374302,hot,2,0,1.074545782571837
0,20,18.30288409803923,hot,2,0,1.0
1,20,24.14035260603233,hot,2,0,1.0
2,20,20.516312608095607,hot,2,0,1.0
3,20,35.01491928565852,hot,2,0,1.0
4,20,21.933978444596857,hot,2,0,1.0
5,20,25.415704370200466,hot,2,0,1.0
